name,price,delivery_time,url
Fresh Garlic (lehsun) 250g Pack,₹49.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Sapota - 500g,₹42.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Chilli, Green, 250g",₹27.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Arvi, 500g",₹68.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Garlic Peeled, 200g",₹62.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Sweet Corn Shelled, 200g",₹56.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Sprouts Mix 200 gm,₹39.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Pumpkin Cubes, 250g",₹44.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Sprouts Moong Green 200 gm,₹42.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Coconut, Grated, 200g",₹109.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Sambhar Mix, 250g",₹59.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Banana Robusta, 1kg",₹65.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Banana Yelakki, 500 g",₹75.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Coconut - Medium 1 Pc (400-450g),₹40.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Coconut - Large 1 Pc (550-650gm),₹65.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Turmeric, 300 g",₹38.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Coconut for Kalash 1Pc (Approx. 250 g),₹38.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Tulsi Leaves, 50g",₹11.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Tendli, 250 g",₹20.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Naturally Grown Lemon, 100 gm, Fresh",₹14.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Naturally Grown Tomato, 1 Kg",₹57.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Beet Root, 250g",₹15.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Cucumber, 500g",₹33.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Garlic, 100g",₹23.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Ginger, 100g",₹9.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Spinach, 250g",₹37.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Zucchini Green 1Pc (Aprrox.150gm),₹36.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Colocasia Leaf(Arvi Patta), 10 Pcs, 110 grams",₹19.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Iceberg Lettuce, 1 Piece (Approx.250 gm)",₹46.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Amaranthus Green (Danthu Soppu), 250g Pack",₹35.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Naturally Grown Colocasia Leaf, 10 Pcs",₹18.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Green Jalapeno, 100g",₹26.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Spt Green Peas Pouch, 1 Kg",₹150.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Safal Frozen Foods Green Peas, 500 g Pack",₹121.50,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Gadre Edamame Frozen Boiled Soybeans, 500gm",₹299.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Safal Frozen Vegetables Mixed Vegetables, 500 g P…",₹68.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Yummiez Godrej Frozen Green Peas,1 Kg",₹229.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Safal Frozen Vegetables Sweet Corn, 500 g Pack",₹90.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"SPT Green Peas Pouch, 500 Gram",₹92.95,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Farmland Frozen Green Peas, Ready to Cook Froze…",₹188.57,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Organic Lemon Grass, 100 g",₹14.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Tadaa Sweet Corn Kernels Sea Salt & Pepper 225g,₹45.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Fresh Organic Cauliflower 1Pc (400-600gm),₹60.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh lemon, 100 g",₹12.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Suhana Paneer Makhanwala (NONG) Spice Mix 50g Pou…,₹40.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Lotus Stem(Kamal kakri), 200 g",₹55.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Mango, Langda, 1 Kg (5-7 pcs)",₹169.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Mango, Daseri, 1 Kg (6-7pcs/kg)",₹169.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Apple Royal Gala 4 Pieces Pack,(Approx. 520…",₹198.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Pear Green, (Pack of 4)",₹139.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Mix Capsicum Red and Yellow 2 pcs (approx.250),…",₹79.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Broccoli, 1pc (approx.150-300gm)",₹135.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Apple Red Delicious (Pack of 4), (Approx.500 g-…",₹194.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Avocado, 1 Pc, (approx.150g-200 gram)",₹79.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Pulav Mix, 250g",₹72.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Cauliflower Florets, 250g",₹49.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Pineapple Slice, 250g",₹95.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Mint Leaves, 100 grams",₹15.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
CRISTA 50 gms Hearty Onion Powder | Onion Powder for…,₹102.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Curry Leaves, 100 grams Bunch",₹14.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Basil - Leaves, 100 grams",₹14.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
"Fresh Neem Leaves, 50 g",₹7.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
Keya Pizza Oregano Multipack 40g | 10 sachets i…,₹45.00,,https://www.amazon.in/alm/category/fresh/Fresh-Fruits-Vegetables?almBrandId=ctnow&node=4859496031&ref=fs_dsk_sn_fruitsVegetables-9679e
