name,price,delivery_time,product_url
FORTUNE Xpert Total Balance Oil | Blend of Rice…,₹157.00,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDQ3MTE5NDA0NTkzMjozOjM6Og==&url=%2FFortune-Xpert-Balance-Soyabean-Flaxseed%2Fdp%2FB09NM4XYKB%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB09NM4XYKB%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_11_sp_d25_i
Tata Simply Better Pure & Unrefined Cold Pressed Vir…,₹470.00,4.5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDIwMjIyNjU5OTczMjo0OjQ6Og==&url=%2FTata-Simply-Better-Cholesterol-Multipurpose%2Fdp%2FB0CZLKS1VW%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB0CZLKS1VW%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_12_sp_d25_i
Amazon Brand - Vedaka Cold Pressed Sesame Oil | 500…,₹250.00,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDUyOTQxNjIyMzgzMjo1OjU6Og==&url=%2FAmazon-Brand-Vedaka-Sesame-Bottle%2Fdp%2FB0842H474P%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB0842H474P%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_13_sp_d65_i
Tata Simply Better Pure & Unrefined Cold Pressed M…,₹229.00,4.5,https://www.amazon.in/Tata-Simply-Better-Cholesterol-Multipurpose/dp/B0C81GZF1H?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B0C81GZF1H&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_14_og_dN_i
Tata Simply Better Pure & Unrefined Cold Pressed Gr…,₹311.00,4.5,https://www.amazon.in/Tata-Simply-Better-Cholesterol-Multipurpose/dp/B0C81J4DS4?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B0C81J4DS4&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_15_og_dN_i
Saffola Gold Refined Cooking oil | Power of 3 - Balance o…,₹184.00,4.4,https://www.amazon.in/Saffola-Healthy-Lifestyle-Edible-Pouch/dp/B00L13WLFW?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00L13WLFW&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_16_og_dN_i
Fortune Rice Bran Health Physically Refined Rice Br…,₹775.00,4.4,https://www.amazon.in/Fortune-Rice-Bran-Health-Oil/dp/B00N2WI082?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B00N2WI082&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_17_og_dN_i
"Fortune Premium Kachi Ghani Pure Mustard Oil, 4.…",₹869.00,4.4,https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0795V64VS?pd_rd_w=j23wu&content-id=amzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_p=7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06&pf_rd_r=0AVWRGVM7NRKPCKJDN75&pd_rd_wg=HLpOV&pd_rd_r=fb7fbd6f-8d43-47c8-9a89-16f7952ffa6a&pd_rd_i=B0795V64VS&fpw=alm&almBrandId=ctnow&ref_=pd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_18_og_dN_i
Natureland Organics Kachhi Ghani Pure Mustard Oil 1 L…,₹296.00,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjIwMDM2NDQwODQyNjA4OjY6Njo6&url=%2FNatureland-Organics-Kachhi-Mustard-Pressed%2Fdp%2FB07B9VM9MV%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB07B9VM9MV%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_rfc_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_19_sp_d65_i
Amazon Brand - Vedaka Cold Pressed Sesame Oil | 5 L…,"₹1,999.00",4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTA5Nzg0MDc4MzMwNTAxOjE3NTAwNjQ5NDQ6c3Bfc3RvcmVmcm9udF9ibGVuZGVkOjMwMDUyOTQxNjIyMzkzMjo3Ojc6Og==&url=%2FAmazon-Brand-Unrefined-Multipurpose-Anti-Oxidants%2Fdp%2FB08CSDRGZ2%3Fpsc%3D1%26pd_rd_w%3Dj23wu%26content-id%3Damzn1.sym.7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_p%3D7ccf15ce-ce2e-4fd8-9bdc-78183a0bdc06%26pf_rd_r%3D0AVWRGVM7NRKPCKJDN75%26pd_rd_wg%3DHLpOV%26pd_rd_r%3Dfb7fbd6f-8d43-47c8-9a89-16f7952ffa6a%26pd_rd_i%3DB08CSDRGZ2%26fpw%3Dalm%26almBrandId%3Dctnow%26ref_%3Dpd_alm_fs_dsk_cp_ai_rzg_hxwGCG_sspa_dk_det_1_20_sp_d80_i
