name,price,url
Surf Excel Quick Wash Detergent Powder 500 g Combo,Not Found,https://www.zeptonow.com/pn/surf-excel-quick-wash-detergent-powder-500-g-combo/pvid/00bc41f9-9172-45aa-96e1-2f9ec1f25e11
Tide Plus Detergent Washing Powder | Jasmine & Rose 5 kg Combo,Not Found,https://www.zeptonow.com/pn/tide-plus-detergent-washing-powder-jasmine-rose-5-kg-combo/pvid/7e28f76d-fddd-434b-9961-e57c2f13d0a4
Aashirvaad Turmeric/Haldi Powder,Not Found,https://www.zeptonow.com/pn/aashirvaad-turmerichaldi-powder/pvid/be8a521e-b38b-4cd3-8450-2ed6158d3f70
Surf Excel Quick Wash Detergent Powder,Not Found,https://www.zeptonow.com/pn/surf-excel-quick-wash-detergent-powder/pvid/d6f377f7-78b7-40fe-ad0c-9984eb927658
"Nycil Germ Expert Prickly Heat Powder Cool Gulabjal, (Get Cool Gulabjal 60 g Free)",Not Found,https://www.zeptonow.com/pn/nycil-germ-expert-prickly-heat-powder-cool-gulabjal-get-cool-gulabjal-60-g-free/pvid/f097b813-c18c-45d0-ae79-b62599c277d5
Surf Excel Bar Combo,Not Found,https://www.zeptonow.com/pn/surf-excel-bar-combo/pvid/ea8c4417-6c56-4c81-88d9-f86f65b43dad
Candid Activ Sweat Control Talc,Not Found,https://www.zeptonow.com/pn/candid-activ-sweat-control-talc/pvid/09ab9a38-3840-4da8-86a6-aa080bd0bef9
Tide Plus Jasmine & Rose Detergent Powder,Not Found,https://www.zeptonow.com/pn/tide-plus-jasmine-rose-detergent-powder/pvid/dad7bd38-962c-4646-996b-0a32c64c113f
